cleaned_text,text_length,hashtag_count,mention_count,uppercase_ratio,controversial_keyword_count,engagement_score,is_verified,troll_label
i support palestine and the innocent people of palestine i ve never supported hamas they were put in by israel to create these petty attacks with every attack israel steals more land kills more people and flatten more land with every pathetic hamas attack,283,0,1,0.053003533568904596,1,3.0,0,1
free beeda beating_heart,11,0,0,0.09090909090909091,0,1.0,0,0
israel and the gaza strip are not two equal sides at war,279,16,0,0.1003584229390681,0,2.0,0,0
turn me up green_heart,189,17,0,0.09523809523809523,0,6.0,0,0
we need a pm who does their job regardless of the day or time the canadian embassy in israel closed for the holiday during a terror attack is the best trudeau can do for canadians stuck there we need real leadership not this virtue signalling child,254,0,0,0.031496062992125984,0,0.0,0,0
the way this video lives in my head rent free,72,0,0,0.08333333333333333,0,0.0,0,0
day 7 free day i just wanted to use their shb fit for once heart_hands_medium dark_skin_tone,109,1,0,0.1651376146788991,0,36.0,0,0
sorry to my followers that are probably sick of me retweeting news of palestine but it s one of the little things i could do for them if you don t like it you may unfollow,174,0,0,0.011494252873563218,0,1.0,0,0
israel withdrew from the gaza strip in 2005 it evacuated every israeli settlement and repositioned to the international line hamas took the strip by force built a sharia quasi state and has now launched a surprise attack aimed at murdering and taking as many israeli civilians,280,0,0,0.025,1,2034.0,0,1
since saturday the total number of and wounded in the and is 508 martyrs and 2 800 wounded for the third day continues its aggression on gaza strip the death toll has risen to 493 including 91 children and 61 women with,304,4,0,0.05263157894736842,0,687.0,0,0
the reality is that israel has been slowly killing all 2 3 million people in gaza for the past 16 years systematically subjugating gazans to a series of apartheid policies that have affected the most basic details of our lives in,261,0,2,0.022988505747126436,2,346.0,0,1
i m just some random from new zealand but realistically it can t be that hard to understand that both hamas and the israeli military are horrible and that the real victims are the civvies are the real victims genocide is bad regardless of the group perpetrating it,267,0,0,0.026217228464419477,1,3.0,0,1
actually it was the 74 years of ethnic cleansing massacres and genocide and 16 years of siege in gaza that triggered it,136,0,1,0.014705882352941176,1,225.0,0,1
hamas camden yards sports complex is right there,50,0,0,0.06,0,1.0,0,0
police_car_light the idf declares a state of war alert police_car_light 8pm il time update since 6 30am il time there has been an incessant barrage of rockets over 3 000 and counting fired towards israel from the gaza strip direct hits in central and southern israel palestinian terrorists,304,0,0,0.05592105263157895,1,702.0,0,1
thread israel s military occupation creates violence israel s apartheid regime regularly kills palestinians you can t understand what s happening today without acknowledging the reality of israel s daily oppression of palestinians here are 3 crucial things to keep in mind,283,0,0,0.045936395759717315,2,846.0,0,1
been out west recently so had to stop by one of the best gassers shops in town dent oh textbook production every single time give this location a whirl if you haven t yet these extreme cheese gassers and chili cheese fries chili cheese ots have me bricked up,304,2,0,0.0756578947368421,0,31.0,0,0
the ceasefire in gaza mirage,54,0,0,0.12962962962962962,0,1.0,0,0
let s review actual history and not your emotional support of terrorists warning this post contains actual facts all israel has wanted is to exist as a jewish state and to live in peace let s look at the facts and not the emotional hype you be the judge on reason vs,290,0,1,0.16551724137931034,1,598.0,0,1
israel in the last two days if you stand for you stand for terror there is another video posted here on twitter showing killing a man saying he is a jewish man he was a thai man working in israel do not watch it,302,4,0,0.12251655629139073,2,0.0,0,1
if the palestinians stopped fighting they would already have a country and we d have peace this is not a counter factual or a dream this is fact in 2005 israel ceded the gaza strip unilaterally pulling out all it s citizens and military installations from the strip and,295,0,1,0.03389830508474576,0,1207.0,0,0
75 years of ethnic cleansing 15 years of blockade confiscation of palestinian lands pogroms on palestinian towns desecration of palestinian sacred sites daily raids into palestinian homes constant humiliation of a entire people nothing about today is unprovoked,280,0,0,0.03571428571428571,0,12284.0,0,0
please share retweet or copy paste to other platforms yesterday on shabbat and one of the most sacred jewish holidays around 6 30am israel time hamas started firing thousands of rockets into civilian population in israel reminding you that in israel unlike hamas tactics,281,0,0,0.028469750889679714,0,401.0,0,0
seriously fuck that occupier colonial country and anyone else supports it s illegal occupation in fact kindly unfollow and block me if that s you,153,0,0,0.013071895424836602,0,0.0,0,0
this is disgraceful ted cruz torches state department for deleted tweet urging israel to refrain from violence amp retaliatory attacks with hamas,175,0,0,0.14285714285714285,0,28.0,0,0
israel unilaterally withdrew from gaza in 2005 forced a lot of jews to leave their homes so they could completely clear out and leave palestinians to govern themselves gaza residents then elected a terrorist group and the reward has been non stop terrorist attacks since,273,0,0,0.02197802197802198,2,9019.0,0,1
reposting for visibility,63,3,0,0.1111111111111111,0,8.0,0,0
police_car_light 14 50 october 9 2023 il time update police_car_light october 9 12 rockets fired from lebanon towards rocket bombardment from israel s south to north october 8 lebanon fires mortar shells from lebanon towards israel s north retaliated egypt,307,2,1,0.0749185667752443,0,367.0,0,0
the current situation today israel controls the west bank the gaza strip and east jerusalem the west bank and gaza strip are considered to be palestinian territories under international law but israel has maintained a military occupation of these territories for over 50,278,0,0,0.05755395683453238,0,2641.0,0,0
israel also has the right to respond as they seem fit in other words destroy it all make the entire area inhabitable let them live in caves,143,0,0,0.027972027972027972,1,4.0,0,1
ten steps to end jihad against the west,67,0,0,0.14925373134328357,0,0.0,0,0
april 9 1948 254 palestinian civilians were brutally massacred in the village of deir yassin by the zionist irgun terrorist organization houses were burned down every living being in the village whether human or animal was lined up and shot their bodies were thrown into,304,0,0,0.03618421052631579,1,1839.0,0,1
they scream god is great terrorists,92,3,0,0.13043478260869565,1,1.0,0,1
big breaking news hamas requests ceasefire with israel after israel launches massive airstrikes on gaza fire fire hezbollah top leaders abdel hamid sherri amp mujahid ali killed in israeli airstrikes high_voltage israel military orders a complete halt of deliveries of food water fuel and,305,0,0,0.15081967213114755,1,13569.0,0,1
maybe the world should wall off gaza like india s north sentinel island because of hamas simply let no one enter or leave end all trade and communication,156,0,0,0.057692307692307696,0,7.0,0,0
its actually disgusting the way y all are treating palestine like just for funsies,83,0,0,0.012048192771084338,0,1.0,0,0
on yet another us bank holiday we re reminded to appreciate the simple things like being accessible 24 7 365 without permission and with instant settlement orange_heart,173,1,0,0.023121387283236993,0,17.0,0,0
the reservations aren t theirs the us government forced them onto the reservations anyone who actually lives on a reservation would tell you that it s an open air prison just like gaza one day the natives will have their land back inshallah,247,0,0,0.02834008097165992,0,9.0,0,0
as the war in israel continues iran involved update,78,0,0,0.3333333333333333,0,53.0,0,0
russia and many others have voiced solutions small_blue_diamond immediate ceasefire small_blue_diamond peace plan based on an independent palestinian state within 1967 borders with east jerusalem as capital palestine s independence in 2048 will be symbolic,257,3,0,0.0311284046692607,0,567.0,0,0
ignorant rubbish the creation of israel in 1948 wasn t an occupation 78 of british mandatory palestine is now jordan and israel didn t occupy the west bank and gaza until the 6 day war in 1967 do they not teach you anything at school or university,281,0,0,0.06405693950177936,0,1271.0,0,0
not good enough they should be referred to,70,0,2,0.1,0,12.0,0,0
police_car_light the idf declares a state of war alert police_car_light 6pm il time update since 6 30am il time there has been an incessant barrage of rockets over 3 000 and counting fired towards israel from the gaza strip direct hits in central and southern israel palestinian terrorists,304,0,0,0.06578947368421052,1,329.0,0,1
israel illegally occupied palestine in 1948 hamas came into existence 38 years later israel has turned gaza into the largest open air prison in the world hamas is inside that prison israel controls the water and electricity supplies in gaza hamas doesn t israel has been,285,0,0,0.056140350877192984,0,666.0,0,0
in view of the open war declared by israel on the palestinian people in gaza and the critical and ever worsening situation of the palestinian people under israel s colonial occupation and apartheid regime in the rest of the occupied palestinian territory including east,270,0,0,0.037037037037037035,1,1875.0,0,1
the fundamental mistake decent irish people make about israel palestine is to compare it to what they know northern ireland the ira uvf were bad no question but could be talked to hamas has as its explicit aim not a peaceful settlement but the murder of every jew in,278,0,0,0.0539568345323741,1,1863.0,0,1
police_car_light video of the latest rocket attack towards ashkelon,152,7,0,0.13157894736842105,0,6.0,0,0
so very sorry conservative party of canada the details on the terror attacks in israel requires national security clearance,125,0,0,0.048,0,1054.0,0,0
rockets rain on israel from gaza palestinians celebrate on a destroyed and captured israeli tank the masses of the world celebrate the immanent demise of the worlds last remaining apartheid settler colonial state netanyahu says we are at war but this is not news israel,308,0,0,0.03896103896103896,2,342.0,0,1
police_car_light 8 00am october 8 2023 il time update police_car_light october 8 mortar shells fired from lebanon towards israel s north since 6 30am october 7 il time there has been an incessant barrage of rockets over 3 200 and counting fired towards israel from the gaza strip,304,0,0,0.05921052631578947,0,533.0,0,0
so the us is not calling for a ceasefire or restraint as israel pummels civilian residences in gaza and prepares for an even more brutal military response the us gives israel a green light for more collective punishment which is illegal and immoral,251,0,0,0.035856573705179286,0,570.0,0,0
concerning israel s under a 26 11 style attack the has declared a state of conflict after a major hamas assault from gaza over 5 000 rockets launched 50 israeli lives lost and 30 individuals captured in solidarity with israel amp it s citizens in this fight,306,0,1,0.0457516339869281,0,80.0,0,0
most of the people who say free palestine don t understand that a free palestine would be a society that behaves like what we saw this week rape murder abductions destruction freedom to function as a caliphate and the people that do understand this are jihadists who,279,0,0,0.02867383512544803,1,487.0,0,1
the israelis believed that hamas was in a different mode now focused on a long term ceasefire in which each side benefited from a live and let live arrangement but it turns out that was all a massive deception writes,261,0,1,0.034482758620689655,0,390.0,0,0
2 rakat nafl in al aqsa and is over from kaaba to mission terrorist,285,15,0,0.11228070175438597,1,488.0,0,1
even for an online chickenhawk this is an exceptionally stupid lie gaza is an israeli run prison you smoothbrained simp,126,0,0,0.023809523809523808,0,6.0,0,0
one cannot argue both sides of an issue only palestinians are under to military rule the only people who have their homes taken for illegal israeli settlements are palestinians only palestinians are experiencing forced evictions apartheid laws only affect the,327,0,3,0.03669724770642202,1,1613.0,0,1
whatever horror israel commits next will not change the fundamental reality israel is a colonial power and the palestinian people are engaged in a just liberation war similar to the anti colonial struggles in vietnam and across africa,259,0,0,0.03474903474903475,0,350.0,0,0
military briefing the groups that pose the deadliest threat to israel via,104,0,1,0.09615384615384616,0,0.0,0,0
posts like this always forget that gaza is under complete naval blockade and the israeli military strictly rations water supplies and crops going to gaza from outside,166,0,0,0.0,0,469.0,0,0
very good thread on the israel hamas war from who knows what he s talking about i ll add you can understand why israeli pms ignored gaza the political upsides of acting were limited and the downsides were high especially with a narrow coalition government,274,0,1,0.043795620437956206,0,0.0,0,0
no one really cared while gaza s palestinans were subjected to a blockade imposed by israel that denied them the essentials of life the few dozen israelis being held hostage by hamas fighters pale in comparison with the two million palestinians held hostage by israel in an,274,0,0,0.032846715328467155,0,13805.0,0,0
thank you for your outspoken and unequivocal support of our ally israel United_States Israel,113,1,1,0.04424778761061947,0,15.0,0,0
compare hamas terrorists fired 3000 rockets at israeli cities murdered more than a thousand israeli civilians amp shot and killed 250 innocent concert goers below the idf posts safe zones for palastinian civilians to avoid air and artillery strikes on hamas facilities in gaza,308,0,0,0.07142857142857142,3,516.0,0,1
here s the root of the problem palestinians haven t had a day of peace safety or freedom since israel began illegally invading stealing and occupying palestinian land over 75 years ago ending israel s oppression of palestinians guarantees a safe and just future for all,278,0,0,0.025179856115107913,0,1295.0,0,0
israel slaughter a reminder were one needed that a time might soon come when venturing unarmed outdoors in america would be very unwise,204,4,0,0.0392156862745098,0,1.0,0,0
pray for us american woman hides for hours in home near gaza as hamas terrorists attack,138,0,0,0.16666666666666666,1,85.0,0,1
free barabbas luke 23 18 24,56,0,0,0.16071428571428573,0,2.0,0,0
the conditions were all there 2005 israel ends its occupation and gaza is self governing what would a decent government have done promulgate a charter constitution guaranteed by perhaps dubai and singapore attract investment from the gulf,251,0,0,0.043824701195219126,0,359.0,0,0
israel is an apartheid state founded on an imperialist doctrine and is run now with the support of neofascists you don t need to tell me this does not mean it is legally sanctioned to commit crimes against humanity against israelis,235,0,0,0.0,1,786.0,0,1
super hero time start now kamen rider gotchard episode 06 ohsama sentai king ohger episode 32,186,5,0,0.12365591397849462,0,5.0,0,0
and as usual telling it entirely from israel s perspective nothing about the desperation of an oppressed and deprived palestinian people driven to provoke one of the most powerful and sophisticated war machines in the world so much for balance,255,0,1,0.0196078431372549,0,2.0,0,0
seeing a malaysian supporting a colonization is so crazy remember how we were colonized by many for centuries how his grandparents probably had to hide from the japanese during japanse occupation here but here he is against decolonization skull,242,0,0,0.0,0,0.0,0,0
palestine should become a parking lot immediately,51,0,0,0.0392156862745098,0,2.0,0,0
to anyone blaming israel for the situation in gaza the facts are simple israel withdrew from gaza in 2005 hamas took over the strip israel had rockets raining on it for almost twenty years since it has shown incredible patience but hamas wants that patience to snap it has,280,0,0,0.04285714285714286,0,1934.0,0,0
jews agreed to give over 50 of the land in accordance with un resolutions in 1947 but in return the entire arab world tried to kill israel the home of jews for thousands of years the current state is a result of the palestinian death wish now hamas has shown the true colors,295,0,1,0.04067796610169491,1,239.0,0,1
police_car_light 5 00am october 8 2023 il time update police_car_light since 6 30am october 7 il time there has been an incessant barrage of rockets over 3 000 and counting fired towards israel from the gaza strip direct hits in central and southern israel palestinian terrorists,296,0,0,0.0472972972972973,1,398.0,0,1
palestinians have been occupying their land for 1000 years and israel moved in by force and have been oppressing and terrorizing palestinians for decades palestine retaliated today with the same tactics used against them,237,0,1,0.004219409282700422,0,8.0,0,0
if you want to understand what is happening in gaza israel read this book the conventional israeli policy of ethnic cleansing employed successfully in 1948 against half of palestine s population and against hundreds of thousands of palestinians in the west bank in 1967 was,306,0,0,0.032679738562091505,0,723.0,0,0
so right on queue the msm is providing detailed information regarding how the hamas attacks were planned and coordinated full narrative management but the intelligence agencies missed it remember c19 was immediately explained as from the wet market think,279,0,0,0.025089605734767026,0,1.0,0,0
what s your thoughts on the israel palestine situation rn,58,0,0,0.034482758620689655,0,47.0,0,0
my condolences to the innocent people in israel amp palestine,90,0,0,0.05555555555555555,0,1.0,0,0
please put a little smiles on that your beautiful face with oga sabinus queen bee iphone 8 wike israel,163,3,0,0.09815950920245399,0,1.0,0,0
o allah protect the people of palestine as they re being denied basic human rights the old weak and feeble children and the unarmed are especially vulnerable our hearts are heavy and saddened we pray for your help and for peace to be restored aameen,269,1,0,0.040892193308550186,0,74021.0,0,1
so what s new gaza and its 2 2 million inhabitants have been under an israeli siege since 2007 and the successive israeli governments have been treating the palestinians like animals since 1948 the only difference now is that this dehumanizing rhetoric is out in the open,300,0,2,0.03,0,448.0,0,0
pick a side i side with the people civilians all of them i ve been to israel my father lives there in jerusalem i m half palestinian but i have numerous amazing lovely jewish friends my doctor is jewish the news once again isn t giving you the whole truth the,288,0,0,0.059027777777777776,0,37742.0,0,1
congratulations to our individual state golf qualifiers 2a boys pictured kamdon eicher mifflinburg andy hermansen north penn mansfield noah romig midd west cole duffy danville kyle beward midd west hayden zuchowski wellsboro,272,0,0,0.10661764705882353,0,17.0,0,0
if you are one of these stupid white women marching under the flag of death outside the embassy in protest listen to the 80 percent men screaming end the occupation israel left gaza in 2005 also you are supporting mass rape and murder of women and murder of babies,276,1,0,0.043478260869565216,2,1.0,0,1
never believe the official narrative are you telling me that hamas got soldiers thru one of the most heavily defended borders in the world with zero israeli military response for hours and hamas took israeli hostages and returned to gaza sus af the war cycle is expanding,275,0,0,0.04363636363636364,0,2.0,0,0
update has full control in southern and finished evacuating all residents living close to the strip,120,2,1,0.058333333333333334,0,674.0,0,0
you know me i m generally a positive person but the way this will play out not so sure i see this ending in a positive way here s how i see it playing out before i get into it i will just say that according to jewish scripture before mashiach comes there will be a huge,281,0,0,0.042704626334519574,0,1313.0,0,0
these inhuman barbaric people ignored the gruesome cruel killing if israelis and chanting for palestine i don t get it do you,154,0,0,0.06493506493506493,1,0.0,0,0
israel has shown great restraint since its founding hamas chose to throw that all away they have guaranteed their destruction and israel has the moral high ground here,199,0,2,0.04020100502512563,0,35.0,0,0
the israeli occupation army and settlers carried out 4073 attacks against palestinians in west bank since the start of 2023 as new report revealed the violations are causing death amp physical injuries land destructions uprooting trees amp confiscating properties,296,0,0,0.033783783783783786,0,2271.0,0,0
stack until 10 27 1 each 10 cardboard or 100 ships free rts appreciated pinned tweet for stack details,153,1,0,0.058823529411764705,0,2.0,0,0
the basic principle behind withdrawal from gaza strip in 2005 was land for peace that if israelis concede land palestinians will keep peace hamas 10 7 attack on israel has put an end to this myth palestinians are still not responsible enough to handle self government,280,1,0,0.04285714285714286,0,8058.0,0,0
to republicans claiming biden is complicit in the atrocities in then so are you you chose to stick behind a madman trump rather than giving a better more viable option to biden it s your own fault we have him as president stop with the finger pointing,269,1,0,0.06319702602230483,0,1.0,0,0
while the israeli war machine is carrying out its brutal aggression against it continues to escalate its violations and crimes in the closing it completely dismembering it by closing the checkpoints spread across the west bank preventing the,301,2,0,0.03986710963455149,0,1023.0,0,0
for a long time i believed a two state solution was the best outcome for israel and palestine after tonight s events which include hamas zealots mowing down the elderly at bus stops defiling the body of a idf soldier firing 5 000 rockets into civilian areas i no longer hold,282,0,0,0.03546099290780142,0,249.0,0,0
peace makers plz do folded_hands folded_hands stand with israel rishi sunak sir folded_hands folded_hands clapping_hands,67,0,0,0.07462686567164178,0,0.0,0,0
i just curated this content on readon content hub use invitation code yjoc75 to get free read tokens curate this content and get rewards,164,0,0,0.1402439024390244,0,1.0,0,0
another important point is israel s lack of strategic goal statements from israel stated they will destroy hamas hamas is an ideology you can t destroy an ideology israel is not prepared to occupy gaza either if they want to rescue hostages then prisoner swap will do,284,0,0,0.028169014084507043,2,285.0,0,1
palestine is actively taking their stolen land back liberating political prisoners breaking down colonial walls amp capturing israeli war criminals as pows iof reservists are too scared to fight settlers are too scared to stay israel is a paper tiger,269,0,0,0.03717472118959108,0,2337.0,0,0
palestine amp pakistan are rogue entities they don t deserve to exist anymore,136,3,0,0.07352941176470588,0,2.0,0,0
if gaza city can throw a nyc level pride week without murdering any lgbt then israel should consider not leveling that s what i d do,135,0,0,0.0962962962962963,1,0.0,0,1
did you know israel disengaged from gaza and evicted all jews in 2005 to attain peace but hamas turned the strip into a terror factory in response writes,203,0,1,0.04433497536945813,0,311.0,0,0
hamas or whatever bs they call themselves are the military wing of palestinians all of gaza will pay for their military s atrocities the loss of us lives will lead to countless loss of iranian syrian and more lives too this is the find out faze of the fuck around,269,0,0,0.04460966542750929,0,0.0,0,0
even though the hamas incursion began as a ff it doesn t mean that other events can t spin off in random ways there is no such thing as full spectrum control,162,0,0,0.08024691358024691,0,18.0,0,0
the violence began when zionist militia backed by britain began the ethnic cleansing of the palestinian people destruction and theft of their land despite the asymmetry in resources and military power palestinians are resisting and taking their land back,260,0,0,0.023076923076923078,0,1183.0,0,0
israel has the right to self defense what about palestine rights of the west no one except allah will help you my brothers of palestine,241,4,0,0.07053941908713693,0,0.0,0,0
shopping_cart collision today s deals collision 42 United_States red_heart youtheory collagen liquid for hair skin and nails with collagen peptides and amino acids gluten free drinkable supplement berry flavor 12 single serving packets via,255,2,1,0.12156862745098039,0,0.0,0,0
gaza facts all water and electricity come from israel every dollar earned spent on rockets and jihad controlled by hamas who has a similar ideology to isis,177,0,1,0.062146892655367235,0,196.0,0,0
it s obvious hamas coordinated the attacks with the approval of iran to thwart progress being made between israel Israel and saudi arabia Saudi_Arabia in 2021 i was serving in the army in the middle east and was stationed in riyadh when the ten day gaza israel conflict broke out saudi,279,0,0,0.053763440860215055,0,2723.0,0,0
this isn t a conflict and there s no neutral stance it s not two equal sides it s not about politics or religion either in simple words one side invaded a whole country displacing citizens from their homes and ending their lives for 75 years they ve massacred innocents,282,0,0,0.01773049645390071,0,1343.0,0,0
people should save this receipt for when we find out what israel is about to do to gaza and maybe the rest of the palestinian territories,162,0,0,0.07407407407407407,0,22.0,0,0
foreign commentators blithely assume that palestinians are fighting for freedom against occupation or are angered by settlements palestinians have made it crystal clear for over a century in words actions and key decisions that their goal is no jewish state in the land,279,0,0,0.014336917562724014,0,1717.0,0,0
the israeli practice of mass slaughtering palestinian families in the safety of their homes and or bombing busy marketplaces and slaughtering everyone gt rule not an exception they ve done it repeatedly since 2009 never faced repercussion for obvious war crimes this is sin,284,0,0,0.028169014084507043,0,298.0,0,0
cutting off water food and power and then bombing these trapped people israel has begun a genocide in gaza,111,0,0,0.02702702702702703,1,0.0,0,0
hamas is a terrorist group and must be treated as such the gaza strip is a breeding ground for terror the cold blooded attacks on innocent citizens in israel in the last few hours by hamas justify the occupation by israel of this terror nest and the destruction of gaza if,275,0,0,0.03636363636363636,1,511.0,0,1
divided by countries united by open_book,95,4,0,0.08421052631578947,0,0.0,0,0
in other words you are going to unconditionally support the apartheid and ethnic cleansing of the palestinian people the same when you rewarded israel with visa waiver after they killed the palestinian american journalist you are on the wrong side of history,296,1,2,0.057432432432432436,2,0.0,0,1
making sense of palestine israel fresh war conflict between palestine and israel is persistent since 2007 but unexpected and extreme actions from both sides are new addition to the conflict global politics is nationalistic cruel and complex behaviour of small states is,284,0,0,0.03169014084507042,0,146.0,0,0
free shiesty smiling_face_with_horns eagle,15,0,0,0.13333333333333333,0,3.0,0,0
gaza war breaking the idf will eliminate hamas military capabilities over the course of the ongoing war between israel and gaza in a way which will prevent a recurrence of the invasion from gaza for another 50 years a senior diplomatic source said on monday 1 4,265,0,0,0.09056603773584905,0,444.0,0,0
a tumblr post regarding the israel palestine conflict,97,1,0,0.10309278350515463,0,1.0,0,0
you ve seen enough of hamas atrocities against israel however many videos you ve seen trust me you haven t even scratched the surface their evil barbaric ways know no bounds this is the darkest of days for israel but darkness comes before the light and the palestinian,283,0,0,0.03180212014134275,1,296.0,0,1
palestinians held peaceful marches along the gaza boundary in 2018 the enemy demonized unarmed men women children elderly journalists medics as terrorists and sent snipers to murder and maim them in their thousands,223,0,0,0.013452914798206279,2,455.0,0,1
may his memory be a blessing thank you for your service broken_heart Israel,60,0,0,0.03333333333333333,0,1.0,0,0
only way i m ever posting a nigga is if he die and probably not even then,74,0,0,0.02702702702702703,0,0.0,0,0
Palestinian_Territories breaking from hamas we decided to put an end to all the crimes of the occupation and the time during which it was rampant without accountability has ended we announce operation al aqsa flood and we were targeted with the first strike within 20 minutes in which more than,304,0,0,0.05592105263157895,0,5388.0,0,0
additionally they say it because the conservatives who own the media won t let real journalists push back lindell says he s broke we can hurt the others where they feel it most in their bank accounts,209,0,0,0.014354066985645933,0,0.0,0,0
the declaration of war by the occupying power on a civilian population it has been illegally and forcibly occupying and oppressing for decades is a continuation of its record of criminality and impunity this is reinforced and affirmed by israeli officials who have,275,1,0,0.01818181818181818,0,16861.0,0,0
cut it out hamas does not control the gaza strip israel does water food medicine electricity travel internet bombs borders exit entry life death is all at the unilateral control of the zionist entity,224,0,0,0.026785714285714284,0,1820.0,0,0
i ain t know i was a foot guy till that last pic zany_face,50,0,0,0.04,0,1.0,0,0
vdh captures the whys and wherefores of the last several hours in israel,73,0,0,0.0547945205479452,0,0.0,0,0
here wo go i m german and as a german i have a special responsibility to the israeli people i can understand that you and your barbaric friends are full of hatred for the so called occupiers cause you think you have a claim on israel but you have no claim at all the first,292,0,1,0.03424657534246575,0,387.0,0,0
the only way the killing in isarel and palestine ends is by fully ending the occupation and ending israeli apartheid the us could force this in one day by making aid to israel contingent on these two things happening,218,0,0,0.03669724770642202,2,1201.0,0,1
you cannot occupy colonize and steal people s land and then expect peace you kill peace the moment you subjugate an entire group of people conversely you create peace when all people are liberated and free,276,3,1,0.036231884057971016,2,1300.0,0,1
people on this platform gaslighting on overdrive as if we didn t all just watch women and holocaust survivors get kidnapped raped murdered and then have their bodies desecrated in the streets in front of a jubilant crowd because israel bad because the combatants are in jeans,279,0,0,0.010752688172043012,1,321.0,0,1
1948 after ww2 to give jewish people an official home legally israel was formed with a map of what they got and what the local population would retain israel slowly edged away and took more of the other sides land they have resisted in different ways today a group of them,296,0,1,0.02364864864864865,0,508.0,0,0
